x,y,z,g,wa,wr
20.0,67.0,93.0,90,-5.0,90
21.0,67.0,93.0,90,-5.0,90
21.0,67.0,93.0,90,-5.0,90
22.0,67.0,92.0,90,-6.0,90
22.0,66.0,92.0,90,-6.0,90
23.0,66.0,92.0,90,-6.0,90
26.0,66.0,92.0,90,-7.0,90
30.0,66.0,92.0,90,-8.0,90
36.0,66.0,92.0,90,-10.0,90
44.0,66.0,91.0,90,-12.0,90
51.0,66.0,91.0,90,-14.0,90
55.0,66.0,91.0,90,-16.0,90
61.0,69.0,91.0,90,-18.0,90
63.0,71.0,94.0,90,-19.0,90
65.0,72.0,98.0,90,-20.0,90
62.0,72.0,103.0,90,-20.0,90
55.0,72.0,109.0,90,-19.0,90
52.0,71.0,114.0,90,-18.0,90
51.0,71.0,120.0,90,-16.0,90
48.0,71.0,125.0,90,-16.0,90
44.0,71.0,129.0,90,-15.0,90
44.0,71.0,132.0,90,-15.0,90
44.0,71.0,133.0,90,-14.0,90
40.0,72.0,130.0,90,-13.0,90
36.0,74.0,124.0,90,-11.0,90
32.0,76.0,116.0,90,-9.0,90
30.0,77.0,109.0,90,-8.0,90
26.0,77.0,104.0,90,-7.0,90
21.0,76.0,100.0,90,-6.0,90
15.0,74.0,95.0,90,-7.0,90
10.0,73.0,89.0,90,-7.0,90
6.0,73.0,84.0,90,-7.0,90
1.0,72.0,80.0,90,-8.0,90
0.0,71.0,78.0,90,-10.0,90
0.0,71.0,76.0,90,-13.0,90
0.0,71.0,73.0,90,-14.0,90
0.0,75.0,69.0,90,-15.0,90
0.0,78.0,65.0,90,-15.0,90
4.0,80.0,62.0,90,-13.0,90
10.0,80.0,60.0,90,-13.0,90
21.0,80.0,59.0,90,-13.0,90
28.0,80.0,58.0,90,-12.0,90
34.0,80.0,57.0,90,-8.0,90
41.0,80.0,57.0,90,-2.0,90
44.0,79.0,57.0,90,4.0,90
47.0,79.0,59.0,90,12.0,90
49.0,79.0,64.0,90,17.0,90
50.0,82.0,69.0,90,21.0,90
51.0,85.0,73.0,90,24.0,90
53.0,87.0,77.0,90,24.0,90
54.0,93.0,81.0,90,25.0,90
52.0,99.0,85.0,90,25.0,90
50.0,103.0,88.0,90,24.0,90
45.0,104.0,91.0,90,23.0,90
40.0,105.0,92.0,90,20.0,90
33.0,105.0,93.0,90,16.0,90
24.0,105.0,94.0,90,12.0,90
16.0,105.0,95.0,90,9.0,90
10.0,104.0,96.0,90,7.0,90
6.0,104.0,96.0,90,5.0,90
3.0,104.0,97.0,90,5.0,90
0.0,104.0,98.0,90,4.0,90
0.0,103.0,98.0,90,3.0,90
0.0,103.0,99.0,90,3.0,90
0.0,103.0,99.0,90,3.0,90
0.0,102.0,100.0,90,0.0,90
0.0,100.0,101.0,90,1.0,90
0.0,97.0,104.0,90,2.0,90
0.0,93.0,108.0,90,1.0,90
0.0,83.0,112.0,90,0.0,90
0.0,78.0,114.0,90,-1.0,90
0.0,77.0,116.0,90,-4.0,90
